Language,Filename,Age,Gender,Age_Group
Telugu,10000.mp3,23,Female,Young Adult
Telugu,10001.mp3,22,Female,Young Adult
Telugu,10002.mp3,29,Female,Adult
Telugu,10003.mp3,28,Female,Adult
Telugu,10004.mp3,43,Female,Senior Adult
Telugu,10005.mp3,34,Male,Adult
Telugu,10006.mp3,51,Male,Senior Adult
Telugu,10007.mp3,36,Male,Adult
Telugu,10008.mp3,31,Male,Adult
Telugu,10009.mp3,37,Male,Adult
Telugu,10010.mp3,19,Female,Young Adult
Telugu,10011.mp3,18,Female,Young Adult
Telugu,10012.mp3,40,Male,Adult
Telugu,10013.mp3,51,Male,Senior Adult
Telugu,10014.mp3,32,Female,Adult
Telugu,10015.mp3,45,Male,Senior Adult
Telugu,10016.mp3,57,Male,Senior Adult
Telugu,10017.mp3,36,Male,Adult
Telugu,10018.mp3,18,Male,Young Adult
Telugu,10019.mp3,41,Male,Senior Adult
Telugu,10020.mp3,35,Female,Adult
Telugu,10021.mp3,48,Male,Senior Adult
Telugu,10022.mp3,39,Female,Adult
Telugu,10023.mp3,37,Male,Adult
Telugu,10024.mp3,28,Female,Adult
Telugu,10025.mp3,30,Male,Adult
Telugu,10026.mp3,49,Female,Senior Adult
Telugu,10027.mp3,18,Female,Young Adult
Telugu,10028.mp3,60,Female,Senior Adult
Telugu,10029.mp3,30,Male,Adult
Telugu,10030.mp3,36,Male,Adult
Telugu,10031.mp3,31,Female,Adult
Telugu,10032.mp3,50,Male,Senior Adult
Telugu,10033.mp3,38,Male,Adult
Telugu,10034.mp3,25,Female,Young Adult
Telugu,10035.mp3,28,Female,Adult
Telugu,10036.mp3,20,Male,Young Adult
Telugu,10037.mp3,58,Male,Senior Adult
Telugu,10038.mp3,50,Male,Senior Adult
Telugu,10039.mp3,30,Male,Adult
Telugu,10040.mp3,56,Male,Senior Adult
Telugu,10041.mp3,31,Male,Adult
Telugu,10042.mp3,60,Female,Senior Adult
Telugu,10043.mp3,25,Female,Young Adult
Telugu,10044.mp3,34,Male,Adult
Telugu,10045.mp3,54,Male,Senior Adult
Telugu,10046.mp3,22,Female,Young Adult
Telugu,10047.mp3,54,Male,Senior Adult
Telugu,10048.mp3,59,Female,Senior Adult
Telugu,10049.mp3,50,Female,Senior Adult
Telugu,10050.mp3,53,Female,Senior Adult
Telugu,10051.mp3,39,Male,Adult
Telugu,10052.mp3,49,Male,Senior Adult
Telugu,10053.mp3,34,Male,Adult
Telugu,10054.mp3,59,Female,Senior Adult
Telugu,10055.mp3,59,Female,Senior Adult
Telugu,10056.mp3,52,Female,Senior Adult
Telugu,10057.mp3,36,Female,Adult
Telugu,10058.mp3,18,Male,Young Adult
Telugu,10059.mp3,49,Male,Senior Adult
Telugu,10060.mp3,45,Male,Senior Adult
Telugu,10061.mp3,32,Male,Adult
Telugu,10062.mp3,29,Female,Adult
Telugu,10063.mp3,32,Male,Adult
Telugu,10064.mp3,40,Male,Adult
Telugu,10065.mp3,18,Female,Young Adult
Telugu,10066.mp3,25,Male,Young Adult
Telugu,10067.mp3,56,Male,Senior Adult
Telugu,10068.mp3,56,Male,Senior Adult
Telugu,10069.mp3,45,Male,Senior Adult
Telugu,10070.mp3,23,Female,Young Adult
Telugu,10071.mp3,24,Male,Young Adult
Telugu,10072.mp3,44,Female,Senior Adult
Telugu,10073.mp3,29,Female,Adult
Telugu,10074.mp3,35,Male,Adult
Telugu,10075.mp3,40,Female,Adult
Telugu,10076.mp3,56,Male,Senior Adult
Telugu,10077.mp3,18,Male,Young Adult
Telugu,10078.mp3,37,Male,Adult
Telugu,10079.mp3,24,Male,Young Adult
Telugu,10080.mp3,56,Female,Senior Adult
Telugu,10081.mp3,27,Male,Adult
Telugu,10082.mp3,22,Male,Young Adult
Telugu,10083.mp3,36,Female,Adult
Telugu,10084.mp3,55,Male,Senior Adult
Telugu,10085.mp3,56,Male,Senior Adult
Telugu,10086.mp3,25,Female,Young Adult
Telugu,10087.mp3,52,Male,Senior Adult
Telugu,10088.mp3,28,Male,Adult
Telugu,10089.mp3,43,Female,Senior Adult
Telugu,10090.mp3,22,Female,Young Adult
Telugu,10091.mp3,21,Male,Young Adult
Telugu,10092.mp3,55,Female,Senior Adult
Telugu,10093.mp3,48,Female,Senior Adult
Telugu,10094.mp3,24,Female,Young Adult
Telugu,10095.mp3,41,Male,Senior Adult
Telugu,10096.mp3,24,Male,Young Adult
Telugu,10097.mp3,49,Female,Senior Adult
Telugu,10098.mp3,53,Male,Senior Adult
Telugu,10099.mp3,33,Female,Adult
Telugu,10100.mp3,23,Male,Young Adult
Telugu,10101.mp3,55,Male,Senior Adult
Telugu,10102.mp3,21,Female,Young Adult
Telugu,10103.mp3,25,Female,Young Adult
Telugu,10104.mp3,36,Female,Adult
Telugu,10105.mp3,52,Male,Senior Adult
Telugu,10106.mp3,24,Female,Young Adult
Telugu,10107.mp3,56,Male,Senior Adult
Telugu,10108.mp3,35,Male,Adult
Telugu,10109.mp3,30,Female,Adult
Telugu,10110.mp3,47,Male,Senior Adult
Telugu,10111.mp3,32,Female,Adult
Telugu,10112.mp3,37,Male,Adult
Telugu,10113.mp3,19,Male,Young Adult
Telugu,10114.mp3,46,Female,Senior Adult
Telugu,10115.mp3,27,Male,Adult
Telugu,10116.mp3,56,Male,Senior Adult
Telugu,10117.mp3,55,Female,Senior Adult
Telugu,10118.mp3,28,Female,Adult
Telugu,10119.mp3,18,Male,Young Adult
Telugu,10120.mp3,21,Female,Young Adult
Telugu,10121.mp3,30,Male,Adult
Telugu,10122.mp3,45,Female,Senior Adult
Telugu,10123.mp3,39,Male,Adult
Telugu,10124.mp3,42,Female,Senior Adult
Telugu,10125.mp3,28,Male,Adult
Telugu,10126.mp3,51,Female,Senior Adult
Telugu,10127.mp3,51,Female,Senior Adult
Telugu,10128.mp3,60,Male,Senior Adult
Telugu,10129.mp3,39,Male,Adult
Telugu,10130.mp3,18,Male,Young Adult
Telugu,10131.mp3,43,Female,Senior Adult
Telugu,10132.mp3,29,Male,Adult
Telugu,10133.mp3,44,Male,Senior Adult
Telugu,10134.mp3,42,Female,Senior Adult
Telugu,10135.mp3,36,Male,Adult
Telugu,10136.mp3,40,Male,Adult
Telugu,10137.mp3,51,Female,Senior Adult
Telugu,10138.mp3,58,Female,Senior Adult
Telugu,10139.mp3,46,Female,Senior Adult
Telugu,10140.mp3,46,Male,Senior Adult
Telugu,10141.mp3,39,Female,Adult
Telugu,10142.mp3,40,Female,Adult
Telugu,10143.mp3,27,Female,Adult
Telugu,10144.mp3,48,Male,Senior Adult
Telugu,10145.mp3,19,Female,Young Adult
Telugu,10146.mp3,25,Male,Young Adult
Telugu,10147.mp3,32,Female,Adult
Telugu,10148.mp3,46,Male,Senior Adult
Telugu,10149.mp3,54,Female,Senior Adult
Telugu,10150.mp3,43,Female,Senior Adult
Telugu,10151.mp3,45,Male,Senior Adult
Telugu,10152.mp3,25,Male,Young Adult
Telugu,10153.mp3,40,Male,Adult
Telugu,10154.mp3,43,Female,Senior Adult
Telugu,10155.mp3,60,Female,Senior Adult
Telugu,10156.mp3,38,Male,Adult
Telugu,10157.mp3,20,Male,Young Adult
Telugu,10158.mp3,30,Male,Adult
Telugu,10159.mp3,23,Female,Young Adult
Telugu,10160.mp3,24,Male,Young Adult
Telugu,10161.mp3,54,Female,Senior Adult
Telugu,10162.mp3,24,Male,Young Adult
Telugu,10163.mp3,55,Female,Senior Adult
Telugu,10164.mp3,53,Male,Senior Adult
Telugu,10165.mp3,25,Male,Young Adult
Telugu,10166.mp3,54,Male,Senior Adult
Telugu,10167.mp3,27,Male,Adult
Telugu,10168.mp3,43,Male,Senior Adult
Telugu,10169.mp3,40,Female,Adult
Telugu,10170.mp3,47,Female,Senior Adult
Telugu,10171.mp3,48,Female,Senior Adult
Telugu,10172.mp3,35,Female,Adult
Telugu,10173.mp3,42,Female,Senior Adult
Telugu,10174.mp3,36,Female,Adult
Telugu,10175.mp3,19,Male,Young Adult
Telugu,10176.mp3,45,Female,Senior Adult
Telugu,10177.mp3,34,Female,Adult
Telugu,10178.mp3,47,Female,Senior Adult
Telugu,10179.mp3,35,Female,Adult
Telugu,1018.mp3,53,Female,Senior Adult
Telugu,10180.mp3,38,Female,Adult
