Language,Filename,Age,Gender,Age_Group
Gujarati,10000.mp3,56,Female,Senior Adult
Gujarati,10001.mp3,39,Male,Adult
Gujarati,10002.mp3,25,Female,Young Adult
Gujarati,10003.mp3,52,Female,Senior Adult
Gujarati,10004.mp3,40,Male,Adult
Gujarati,10005.mp3,24,Male,Young Adult
Gujarati,10006.mp3,30,Male,Adult
Gujarati,10007.mp3,37,Male,Adult
Gujarati,10008.mp3,49,Female,Senior Adult
Gujarati,10009.mp3,44,Male,Senior Adult
Gujarati,10010.mp3,32,Female,Adult
Gujarati,10011.mp3,41,Male,Senior Adult
Gujarati,10012.mp3,47,Female,Senior Adult
Gujarati,10013.mp3,52,Male,Senior Adult
Gujarati,10014.mp3,44,Male,Senior Adult
Gujarati,10015.mp3,27,Female,Adult
Gujarati,10016.mp3,33,Male,Adult
Gujarati,10017.mp3,26,Male,Adult
Gujarati,10018.mp3,45,Male,Senior Adult
Gujarati,10019.mp3,45,Female,Senior Adult
Gujarati,10020.mp3,25,Female,Young Adult
Gujarati,10021.mp3,45,Male,Senior Adult
Gujarati,10022.mp3,49,Female,Senior Adult
Gujarati,10023.mp3,24,Female,Young Adult
Gujarati,10024.mp3,30,Female,Adult
Gujarati,10025.mp3,43,Female,Senior Adult
Gujarati,10026.mp3,34,Male,Adult
Gujarati,10027.mp3,39,Female,Adult
Gujarati,10028.mp3,22,Female,Young Adult
Gujarati,10029.mp3,36,Female,Adult
Gujarati,10030.mp3,49,Female,Senior Adult
Gujarati,10031.mp3,41,Male,Senior Adult
Gujarati,10032.mp3,39,Male,Adult
Gujarati,10033.mp3,28,Male,Adult
Gujarati,10034.mp3,25,Female,Young Adult
Gujarati,10035.mp3,51,Male,Senior Adult
Gujarati,10036.mp3,35,Male,Adult
Gujarati,10037.mp3,56,Male,Senior Adult
Gujarati,10038.mp3,34,Female,Adult
Gujarati,10039.mp3,57,Male,Senior Adult
Gujarati,10040.mp3,36,Male,Adult
Gujarati,10041.mp3,47,Male,Senior Adult
Gujarati,10042.mp3,34,Male,Adult
Gujarati,10043.mp3,43,Female,Senior Adult
Gujarati,10044.mp3,28,Female,Adult
Gujarati,10045.mp3,58,Male,Senior Adult
Gujarati,10046.mp3,47,Male,Senior Adult
Gujarati,10047.mp3,49,Male,Senior Adult
Gujarati,10048.mp3,57,Male,Senior Adult
Gujarati,10049.mp3,49,Male,Senior Adult
Gujarati,10050.mp3,43,Male,Senior Adult
Gujarati,10051.mp3,26,Male,Adult
Gujarati,10052.mp3,35,Male,Adult
Gujarati,10053.mp3,30,Female,Adult
Gujarati,10054.mp3,47,Female,Senior Adult
Gujarati,10055.mp3,50,Male,Senior Adult
Gujarati,10056.mp3,54,Female,Senior Adult
Gujarati,10057.mp3,43,Male,Senior Adult
Gujarati,10058.mp3,44,Female,Senior Adult
Gujarati,10059.mp3,43,Female,Senior Adult
Gujarati,10060.mp3,40,Male,Adult
Gujarati,10061.mp3,53,Male,Senior Adult
Gujarati,10062.mp3,50,Male,Senior Adult
Gujarati,10063.mp3,37,Male,Adult
Gujarati,10064.mp3,18,Female,Young Adult
Gujarati,10065.mp3,41,Female,Senior Adult
Gujarati,10066.mp3,39,Female,Adult
Gujarati,10067.mp3,37,Male,Adult
Gujarati,10068.mp3,25,Female,Young Adult
Gujarati,10069.mp3,24,Female,Young Adult
Gujarati,10070.mp3,18,Female,Young Adult
Gujarati,10071.mp3,42,Male,Senior Adult
Gujarati,10072.mp3,60,Female,Senior Adult
Gujarati,10073.mp3,32,Female,Adult
Gujarati,10074.mp3,37,Male,Adult
Gujarati,10075.mp3,18,Female,Young Adult
Gujarati,10076.mp3,46,Male,Senior Adult
Gujarati,10077.mp3,32,Male,Adult
Gujarati,10078.mp3,49,Male,Senior Adult
Gujarati,10079.mp3,41,Male,Senior Adult
Gujarati,10080.mp3,31,Female,Adult
Gujarati,10081.mp3,28,Male,Adult
Gujarati,10082.mp3,57,Female,Senior Adult
Gujarati,10083.mp3,22,Male,Young Adult
Gujarati,10084.mp3,40,Male,Adult
Gujarati,10085.mp3,53,Male,Senior Adult
Gujarati,10086.mp3,40,Male,Adult
Gujarati,10087.mp3,28,Male,Adult
Gujarati,10088.mp3,57,Female,Senior Adult
Gujarati,10089.mp3,29,Male,Adult
Gujarati,10090.mp3,22,Female,Young Adult
Gujarati,10091.mp3,23,Female,Young Adult
Gujarati,10092.mp3,34,Female,Adult
Gujarati,10093.mp3,29,Female,Adult
Gujarati,10094.mp3,23,Male,Young Adult
Gujarati,10095.mp3,29,Female,Adult
Gujarati,10096.mp3,21,Female,Young Adult
Gujarati,10097.mp3,53,Male,Senior Adult
Gujarati,10098.mp3,30,Male,Adult
Gujarati,10099.mp3,55,Male,Senior Adult
Gujarati,10100.mp3,32,Male,Adult
Gujarati,10101.mp3,49,Female,Senior Adult
Gujarati,10102.mp3,21,Female,Young Adult
Gujarati,10103.mp3,37,Female,Adult
Gujarati,10104.mp3,21,Female,Young Adult
Gujarati,10105.mp3,27,Male,Adult
Gujarati,10106.mp3,20,Female,Young Adult
Gujarati,10107.mp3,49,Female,Senior Adult
Gujarati,10108.mp3,55,Female,Senior Adult
Gujarati,10109.mp3,26,Male,Adult
Gujarati,10110.mp3,59,Female,Senior Adult
Gujarati,10111.mp3,18,Female,Young Adult
Gujarati,10112.mp3,27,Male,Adult
Gujarati,10113.mp3,58,Male,Senior Adult
Gujarati,10114.mp3,44,Female,Senior Adult
Gujarati,10115.mp3,55,Female,Senior Adult
Gujarati,10116.mp3,48,Female,Senior Adult
Gujarati,10117.mp3,23,Female,Young Adult
Gujarati,10118.mp3,31,Female,Adult
Gujarati,10119.mp3,34,Male,Adult
Gujarati,10120.mp3,37,Female,Adult
Gujarati,10121.mp3,28,Female,Adult
Gujarati,10122.mp3,22,Male,Young Adult
Gujarati,10123.mp3,52,Female,Senior Adult
Gujarati,10124.mp3,19,Male,Young Adult
Gujarati,10125.mp3,27,Female,Adult
Gujarati,10126.mp3,60,Male,Senior Adult
Gujarati,10127.mp3,58,Male,Senior Adult
Gujarati,10128.mp3,32,Male,Adult
Gujarati,10129.mp3,56,Male,Senior Adult
Gujarati,10130.mp3,50,Male,Senior Adult
Gujarati,10131.mp3,25,Male,Young Adult
Gujarati,10132.mp3,38,Female,Adult
Gujarati,10133.mp3,36,Female,Adult
Gujarati,10134.mp3,52,Female,Senior Adult
Gujarati,10135.mp3,42,Female,Senior Adult
Gujarati,10136.mp3,53,Female,Senior Adult
Gujarati,10137.mp3,25,Female,Young Adult
Gujarati,10138.mp3,48,Female,Senior Adult
Gujarati,10139.mp3,30,Male,Adult
Gujarati,10140.mp3,24,Male,Young Adult
Gujarati,10141.mp3,22,Male,Young Adult
Gujarati,10142.mp3,40,Female,Adult
Gujarati,10143.mp3,31,Female,Adult
Gujarati,10144.mp3,46,Male,Senior Adult
Gujarati,10145.mp3,18,Female,Young Adult
Gujarati,10146.mp3,21,Female,Young Adult
Gujarati,10147.mp3,40,Male,Adult
Gujarati,10148.mp3,42,Female,Senior Adult
Gujarati,10149.mp3,41,Male,Senior Adult
Gujarati,10150.mp3,29,Female,Adult
Gujarati,10151.mp3,46,Male,Senior Adult
Gujarati,10152.mp3,36,Female,Adult
Gujarati,10153.mp3,37,Female,Adult
Gujarati,10154.mp3,28,Male,Adult
Gujarati,10155.mp3,51,Female,Senior Adult
Gujarati,10156.mp3,45,Female,Senior Adult
Gujarati,10157.mp3,33,Female,Adult
Gujarati,10158.mp3,45,Male,Senior Adult
Gujarati,10159.mp3,52,Male,Senior Adult
Gujarati,10160.mp3,29,Male,Adult
Gujarati,10161.mp3,53,Male,Senior Adult
Gujarati,10162.mp3,38,Female,Adult
Gujarati,10163.mp3,22,Female,Young Adult
Gujarati,10164.mp3,32,Male,Adult
Gujarati,10165.mp3,52,Male,Senior Adult
Gujarati,10166.mp3,19,Male,Young Adult
Gujarati,10167.mp3,32,Female,Adult
Gujarati,10168.mp3,25,Male,Young Adult
Gujarati,10169.mp3,41,Male,Senior Adult
Gujarati,10170.mp3,41,Male,Senior Adult
Gujarati,10171.mp3,29,Male,Adult
Gujarati,10172.mp3,53,Male,Senior Adult
Gujarati,10173.mp3,59,Female,Senior Adult
Gujarati,10174.mp3,31,Female,Adult
Gujarati,10175.mp3,24,Male,Young Adult
Gujarati,10176.mp3,45,Male,Senior Adult
Gujarati,10177.mp3,19,Male,Young Adult
Gujarati,10178.mp3,21,Male,Young Adult
Gujarati,10179.mp3,18,Female,Young Adult
Gujarati,1018.mp3,49,Female,Senior Adult
Gujarati,10180.mp3,57,Male,Senior Adult
Gujarati,10181.mp3,30,Male,Adult
Gujarati,10182.mp3,60,Female,Senior Adult
Gujarati,10183.mp3,54,Male,Senior Adult
Gujarati,10184.mp3,46,Male,Senior Adult
Gujarati,10185.mp3,46,Male,Senior Adult
Gujarati,10186.mp3,26,Male,Adult
Gujarati,10187.mp3,54,Female,Senior Adult
Gujarati,10188.mp3,20,Female,Young Adult
Gujarati,10189.mp3,40,Female,Adult
Gujarati,10190.mp3,24,Female,Young Adult
Gujarati,10191.mp3,24,Male,Young Adult
Gujarati,10192.mp3,33,Female,Adult
Gujarati,10193.mp3,23,Male,Young Adult
Gujarati,10194.mp3,26,Male,Adult
Gujarati,10195.mp3,49,Male,Senior Adult
Gujarati,10196.mp3,24,Male,Young Adult
Gujarati,10197.mp3,39,Female,Adult
Gujarati,10198.mp3,27,Male,Adult
Gujarati,10199.mp3,49,Male,Senior Adult
Gujarati,10200.mp3,50,Female,Senior Adult
Gujarati,10201.mp3,46,Male,Senior Adult
Gujarati,10202.mp3,32,Male,Adult
Gujarati,10203.mp3,18,Male,Young Adult
Gujarati,10204.mp3,30,Female,Adult
Gujarati,10205.mp3,50,Female,Senior Adult
Gujarati,10206.mp3,54,Male,Senior Adult
Gujarati,10207.mp3,22,Female,Young Adult
Gujarati,10208.mp3,41,Female,Senior Adult
Gujarati,10209.mp3,32,Male,Adult
Gujarati,10210.mp3,22,Female,Young Adult
Gujarati,10211.mp3,33,Male,Adult
Gujarati,10212.mp3,51,Female,Senior Adult
Gujarati,10213.mp3,31,Female,Adult
Gujarati,10214.mp3,20,Male,Young Adult
Gujarati,10215.mp3,36,Male,Adult
Gujarati,10216.mp3,29,Female,Adult
Gujarati,10217.mp3,48,Male,Senior Adult
Gujarati,10218.mp3,46,Female,Senior Adult
Gujarati,10219.mp3,40,Male,Adult
Gujarati,10220.mp3,35,Female,Adult
Gujarati,10221.mp3,51,Male,Senior Adult
Gujarati,10222.mp3,40,Male,Adult
Gujarati,10223.mp3,36,Female,Adult
Gujarati,10224.mp3,28,Female,Adult
Gujarati,10225.mp3,24,Female,Young Adult
Gujarati,10226.mp3,47,Female,Senior Adult
Gujarati,10227.mp3,44,Female,Senior Adult
Gujarati,10228.mp3,35,Male,Adult
Gujarati,10229.mp3,49,Female,Senior Adult
Gujarati,10230.mp3,50,Female,Senior Adult
Gujarati,10231.mp3,42,Female,Senior Adult
