Language,Filename,Age,Gender,Age_Group
Punjabi,0.mp3,38,Female,Adult
Punjabi,1.mp3,31,Female,Adult
Punjabi,10.mp3,30,Female,Adult
Punjabi,100.mp3,42,Male,Senior Adult
Punjabi,1000.mp3,45,Male,Senior Adult
Punjabi,10000.mp3,38,Male,Adult
Punjabi,10001.mp3,41,Female,Senior Adult
Punjabi,10002.mp3,19,Female,Young Adult
Punjabi,10003.mp3,34,Female,Adult
Punjabi,10004.mp3,50,Male,Senior Adult
Punjabi,10005.mp3,41,Male,Senior Adult
Punjabi,10006.mp3,24,Male,Young Adult
Punjabi,10007.mp3,19,Female,Young Adult
Punjabi,10008.mp3,50,Female,Senior Adult
Punjabi,10009.mp3,22,Male,Young Adult
Punjabi,1001.mp3,28,Male,Adult
Punjabi,10010.mp3,31,Female,Adult
Punjabi,10011.mp3,54,Male,Senior Adult
Punjabi,10012.mp3,32,Male,Adult
Punjabi,10013.mp3,47,Male,Senior Adult
Punjabi,10014.mp3,38,Female,Adult
Punjabi,10015.mp3,18,Male,Young Adult
Punjabi,10016.mp3,35,Female,Adult
Punjabi,10017.mp3,27,Male,Adult
Punjabi,10018.mp3,43,Male,Senior Adult
Punjabi,10019.mp3,19,Female,Young Adult
Punjabi,1002.mp3,22,Male,Young Adult
Punjabi,10020.mp3,30,Male,Adult
Punjabi,10021.mp3,52,Male,Senior Adult
Punjabi,10022.mp3,41,Male,Senior Adult
Punjabi,10023.mp3,47,Male,Senior Adult
Punjabi,10024.mp3,35,Male,Adult
Punjabi,10025.mp3,32,Male,Adult
Punjabi,10026.mp3,56,Male,Senior Adult
Punjabi,10027.mp3,51,Male,Senior Adult
Punjabi,10028.mp3,24,Female,Young Adult
Punjabi,10029.mp3,27,Female,Adult
Punjabi,1003.mp3,45,Male,Senior Adult
Punjabi,10030.mp3,47,Female,Senior Adult
Punjabi,10031.mp3,29,Male,Adult
Punjabi,10032.mp3,29,Male,Adult
Punjabi,10033.mp3,60,Male,Senior Adult
Punjabi,10034.mp3,49,Male,Senior Adult
Punjabi,10035.mp3,45,Female,Senior Adult
Punjabi,10036.mp3,49,Male,Senior Adult
Punjabi,10037.mp3,31,Male,Adult
Punjabi,10038.mp3,51,Female,Senior Adult
Punjabi,10039.mp3,30,Female,Adult
Punjabi,1004.mp3,51,Male,Senior Adult
Punjabi,10040.mp3,53,Male,Senior Adult
Punjabi,10041.mp3,48,Female,Senior Adult
Punjabi,10042.mp3,44,Male,Senior Adult
Punjabi,10043.mp3,18,Female,Young Adult
Punjabi,10044.mp3,45,Female,Senior Adult
Punjabi,10045.mp3,27,Male,Adult
Punjabi,10046.mp3,29,Male,Adult
Punjabi,10047.mp3,18,Male,Young Adult
Punjabi,10048.mp3,27,Male,Adult
Punjabi,10049.mp3,25,Female,Young Adult
Punjabi,1005.mp3,29,Female,Adult
Punjabi,10050.mp3,23,Female,Young Adult
Punjabi,10051.mp3,24,Male,Young Adult
Punjabi,10052.mp3,39,Female,Adult
Punjabi,10053.mp3,31,Female,Adult
Punjabi,10054.mp3,23,Female,Young Adult
Punjabi,10055.mp3,54,Male,Senior Adult
Punjabi,10056.mp3,31,Female,Adult
Punjabi,10057.mp3,47,Male,Senior Adult
Punjabi,10058.mp3,40,Male,Adult
Punjabi,10059.mp3,24,Male,Young Adult
Punjabi,1006.mp3,20,Female,Young Adult
Punjabi,10060.mp3,27,Male,Adult
Punjabi,10061.mp3,24,Female,Young Adult
Punjabi,10062.mp3,42,Male,Senior Adult
Punjabi,10063.mp3,28,Female,Adult
Punjabi,10064.mp3,28,Female,Adult
Punjabi,10065.mp3,36,Male,Adult
Punjabi,10066.mp3,57,Female,Senior Adult
Punjabi,10067.mp3,38,Female,Adult
Punjabi,10068.mp3,53,Female,Senior Adult
Punjabi,10069.mp3,35,Female,Adult
Punjabi,1007.mp3,56,Female,Senior Adult
Punjabi,10070.mp3,21,Female,Young Adult
Punjabi,10071.mp3,39,Male,Adult
Punjabi,10072.mp3,25,Male,Young Adult
Punjabi,10073.mp3,57,Male,Senior Adult
Punjabi,10074.mp3,50,Female,Senior Adult
Punjabi,10075.mp3,55,Female,Senior Adult
Punjabi,10076.mp3,28,Male,Adult
Punjabi,10077.mp3,50,Female,Senior Adult
Punjabi,10078.mp3,30,Female,Adult
Punjabi,10079.mp3,39,Male,Adult
Punjabi,1008.mp3,20,Male,Young Adult
Punjabi,10080.mp3,42,Male,Senior Adult
Punjabi,10081.mp3,40,Female,Adult
Punjabi,10082.mp3,40,Male,Adult
Punjabi,10083.mp3,20,Female,Young Adult
Punjabi,10084.mp3,41,Male,Senior Adult
Punjabi,10085.mp3,18,Female,Young Adult
Punjabi,10086.mp3,32,Male,Adult
Punjabi,10087.mp3,45,Female,Senior Adult
Punjabi,10088.mp3,47,Female,Senior Adult
Punjabi,10089.mp3,57,Female,Senior Adult
Punjabi,1009.mp3,53,Female,Senior Adult
Punjabi,10090.mp3,27,Male,Adult
Punjabi,10091.mp3,26,Female,Adult
Punjabi,10092.mp3,56,Female,Senior Adult
Punjabi,10093.mp3,41,Female,Senior Adult
Punjabi,10094.mp3,22,Male,Young Adult
Punjabi,10095.mp3,44,Male,Senior Adult
Punjabi,10096.mp3,50,Female,Senior Adult
Punjabi,10097.mp3,42,Male,Senior Adult
Punjabi,10098.mp3,37,Female,Adult
Punjabi,10099.mp3,43,Female,Senior Adult
Punjabi,101.mp3,52,Female,Senior Adult
Punjabi,1010.mp3,22,Male,Young Adult
Punjabi,10100.mp3,24,Male,Young Adult
Punjabi,10101.mp3,51,Female,Senior Adult
Punjabi,10102.mp3,30,Male,Adult
Punjabi,10103.mp3,18,Male,Young Adult
Punjabi,10104.mp3,25,Female,Young Adult
Punjabi,10105.mp3,38,Female,Adult
Punjabi,10106.mp3,18,Male,Young Adult
Punjabi,10107.mp3,56,Male,Senior Adult
Punjabi,10108.mp3,54,Male,Senior Adult
Punjabi,10109.mp3,52,Male,Senior Adult
Punjabi,1011.mp3,55,Male,Senior Adult
Punjabi,10110.mp3,43,Male,Senior Adult
Punjabi,10111.mp3,50,Male,Senior Adult
Punjabi,10112.mp3,58,Male,Senior Adult
Punjabi,10113.mp3,29,Male,Adult
Punjabi,10114.mp3,26,Male,Adult
Punjabi,10115.mp3,59,Female,Senior Adult
Punjabi,10116.mp3,22,Male,Young Adult
Punjabi,10117.mp3,32,Female,Adult
Punjabi,10118.mp3,27,Female,Adult
Punjabi,10119.mp3,46,Male,Senior Adult
Punjabi,1012.mp3,31,Male,Adult
Punjabi,10120.mp3,25,Male,Young Adult
Punjabi,10121.mp3,40,Female,Adult
Punjabi,10122.mp3,18,Female,Young Adult
Punjabi,10123.mp3,19,Male,Young Adult
Punjabi,10124.mp3,45,Male,Senior Adult
Punjabi,10125.mp3,52,Male,Senior Adult
Punjabi,10126.mp3,25,Female,Young Adult
Punjabi,10127.mp3,60,Male,Senior Adult
Punjabi,10128.mp3,48,Female,Senior Adult
Punjabi,10129.mp3,18,Female,Young Adult
Punjabi,1013.mp3,38,Female,Adult
Punjabi,10130.mp3,50,Male,Senior Adult
Punjabi,10131.mp3,26,Female,Adult
Punjabi,10132.mp3,46,Male,Senior Adult
Punjabi,10133.mp3,51,Male,Senior Adult
Punjabi,10134.mp3,26,Female,Adult
Punjabi,10135.mp3,41,Male,Senior Adult
Punjabi,10136.mp3,35,Female,Adult
Punjabi,10137.mp3,50,Female,Senior Adult
Punjabi,10138.mp3,22,Female,Young Adult
Punjabi,10139.mp3,23,Male,Young Adult
Punjabi,1014.mp3,25,Male,Young Adult
Punjabi,10140.mp3,26,Male,Adult
Punjabi,10141.mp3,40,Male,Adult
Punjabi,10142.mp3,25,Female,Young Adult
Punjabi,10143.mp3,21,Female,Young Adult
Punjabi,10144.mp3,26,Female,Adult
Punjabi,10145.mp3,28,Male,Adult
Punjabi,10146.mp3,36,Male,Adult
Punjabi,10147.mp3,18,Female,Young Adult
Punjabi,10148.mp3,48,Male,Senior Adult
Punjabi,10149.mp3,37,Female,Adult
Punjabi,1015.mp3,44,Male,Senior Adult
Punjabi,10150.mp3,55,Female,Senior Adult
Punjabi,10151.mp3,51,Male,Senior Adult
Punjabi,10152.mp3,21,Female,Young Adult
Punjabi,10153.mp3,59,Female,Senior Adult
Punjabi,10154.mp3,22,Female,Young Adult
Punjabi,10155.mp3,38,Male,Adult
Punjabi,10156.mp3,25,Male,Young Adult
Punjabi,10157.mp3,57,Female,Senior Adult
Punjabi,10158.mp3,42,Male,Senior Adult
Punjabi,10159.mp3,46,Male,Senior Adult
Punjabi,1016.mp3,49,Female,Senior Adult
Punjabi,10160.mp3,57,Female,Senior Adult
Punjabi,10161.mp3,48,Female,Senior Adult
Punjabi,10162.mp3,19,Male,Young Adult
Punjabi,10163.mp3,31,Male,Adult
Punjabi,10164.mp3,49,Male,Senior Adult
Punjabi,10165.mp3,51,Male,Senior Adult
Punjabi,10166.mp3,25,Male,Young Adult
Punjabi,10167.mp3,39,Male,Adult
Punjabi,10168.mp3,36,Male,Adult
Punjabi,10169.mp3,44,Female,Senior Adult
Punjabi,1017.mp3,28,Male,Adult
Punjabi,10170.mp3,42,Female,Senior Adult
Punjabi,10171.mp3,26,Female,Adult
Punjabi,10172.mp3,60,Female,Senior Adult
Punjabi,10173.mp3,18,Female,Young Adult
Punjabi,10174.mp3,37,Female,Adult
Punjabi,10175.mp3,46,Male,Senior Adult
Punjabi,10176.mp3,20,Female,Young Adult
Punjabi,10177.mp3,19,Female,Young Adult
Punjabi,10178.mp3,29,Male,Adult
Punjabi,10179.mp3,38,Male,Adult
Punjabi,1018.mp3,59,Female,Senior Adult
Punjabi,10180.mp3,19,Female,Young Adult
Punjabi,10181.mp3,60,Male,Senior Adult
Punjabi,10182.mp3,22,Male,Young Adult
Punjabi,10183.mp3,23,Female,Young Adult
Punjabi,10184.mp3,46,Male,Senior Adult
Punjabi,10185.mp3,34,Male,Adult
Punjabi,10186.mp3,40,Female,Adult
Punjabi,10187.mp3,24,Female,Young Adult
Punjabi,10188.mp3,51,Male,Senior Adult
Punjabi,10189.mp3,35,Male,Adult
Punjabi,1019.mp3,19,Female,Young Adult
Punjabi,10190.mp3,32,Female,Adult
Punjabi,10191.mp3,59,Female,Senior Adult
Punjabi,10192.mp3,30,Male,Adult
Punjabi,10193.mp3,58,Male,Senior Adult
Punjabi,10194.mp3,58,Female,Senior Adult
Punjabi,10195.mp3,56,Male,Senior Adult
Punjabi,10196.mp3,37,Female,Adult
Punjabi,10197.mp3,60,Male,Senior Adult
Punjabi,10198.mp3,47,Female,Senior Adult
Punjabi,10199.mp3,59,Male,Senior Adult
Punjabi,102.mp3,26,Female,Adult
Punjabi,1020.mp3,38,Male,Adult
Punjabi,10200.mp3,25,Female,Young Adult
Punjabi,10201.mp3,32,Female,Adult
Punjabi,10202.mp3,39,Male,Adult
Punjabi,10203.mp3,41,Female,Senior Adult
Punjabi,10204.mp3,25,Female,Young Adult
Punjabi,10205.mp3,26,Female,Adult
Punjabi,10206.mp3,23,Male,Young Adult
Punjabi,10207.mp3,45,Female,Senior Adult
Punjabi,10208.mp3,28,Male,Adult
Punjabi,10209.mp3,19,Female,Young Adult
Punjabi,1021.mp3,46,Female,Senior Adult
Punjabi,10210.mp3,26,Male,Adult
Punjabi,10211.mp3,21,Female,Young Adult
Punjabi,10212.mp3,21,Male,Young Adult
Punjabi,10213.mp3,31,Male,Adult
Punjabi,10214.mp3,45,Female,Senior Adult
Punjabi,10215.mp3,33,Female,Adult
Punjabi,10216.mp3,48,Female,Senior Adult
Punjabi,10217.mp3,46,Male,Senior Adult
Punjabi,10218.mp3,28,Male,Adult
Punjabi,10219.mp3,60,Male,Senior Adult
Punjabi,1022.mp3,21,Female,Young Adult
Punjabi,10220.mp3,31,Female,Adult
Punjabi,10221.mp3,35,Male,Adult
Punjabi,10222.mp3,26,Male,Adult
Punjabi,10223.mp3,21,Male,Young Adult
Punjabi,10224.mp3,59,Male,Senior Adult
Punjabi,10225.mp3,57,Male,Senior Adult
Punjabi,10226.mp3,30,Female,Adult
Punjabi,10227.mp3,48,Male,Senior Adult
Punjabi,10228.mp3,30,Female,Adult
Punjabi,10229.mp3,59,Female,Senior Adult
Punjabi,1023.mp3,24,Male,Young Adult
Punjabi,10230.mp3,55,Female,Senior Adult
Punjabi,10231.mp3,38,Female,Adult
Punjabi,10232.mp3,50,Female,Senior Adult
Punjabi,10233.mp3,45,Female,Senior Adult
Punjabi,10234.mp3,26,Female,Adult
Punjabi,10235.mp3,45,Female,Senior Adult
Punjabi,10236.mp3,52,Male,Senior Adult
Punjabi,10237.mp3,31,Male,Adult
Punjabi,10238.mp3,30,Male,Adult
Punjabi,10239.mp3,25,Female,Young Adult
Punjabi,1024.mp3,40,Female,Adult
Punjabi,10240.mp3,57,Female,Senior Adult
Punjabi,10241.mp3,39,Male,Adult
Punjabi,10242.mp3,24,Male,Young Adult
Punjabi,10243.mp3,36,Female,Adult
Punjabi,10244.mp3,19,Male,Young Adult
Punjabi,10245.mp3,42,Female,Senior Adult
Punjabi,10246.mp3,53,Female,Senior Adult
Punjabi,10247.mp3,30,Female,Adult
Punjabi,10248.mp3,26,Female,Adult
Punjabi,10249.mp3,44,Female,Senior Adult
Punjabi,1025.mp3,50,Male,Senior Adult
Punjabi,10250.mp3,52,Male,Senior Adult
Punjabi,10251.mp3,34,Female,Adult
Punjabi,10252.mp3,42,Female,Senior Adult
Punjabi,10253.mp3,29,Male,Adult
Punjabi,10254.mp3,51,Male,Senior Adult
Punjabi,10255.mp3,28,Female,Adult
Punjabi,10256.mp3,46,Female,Senior Adult
Punjabi,10257.mp3,59,Female,Senior Adult
Punjabi,10258.mp3,18,Male,Young Adult
Punjabi,10259.mp3,31,Male,Adult
Punjabi,1026.mp3,18,Male,Young Adult
Punjabi,10260.mp3,45,Female,Senior Adult
Punjabi,10261.mp3,19,Male,Young Adult
Punjabi,10262.mp3,39,Male,Adult
Punjabi,10263.mp3,19,Male,Young Adult
Punjabi,10264.mp3,23,Male,Young Adult
Punjabi,10265.mp3,31,Male,Adult
Punjabi,10266.mp3,26,Female,Adult
Punjabi,10267.mp3,19,Male,Young Adult
Punjabi,10268.mp3,21,Female,Young Adult
Punjabi,10269.mp3,52,Female,Senior Adult
Punjabi,1027.mp3,23,Male,Young Adult
Punjabi,10270.mp3,39,Male,Adult
Punjabi,10271.mp3,23,Male,Young Adult
Punjabi,10272.mp3,52,Female,Senior Adult
Punjabi,10273.mp3,23,Female,Young Adult
Punjabi,10274.mp3,29,Female,Adult
Punjabi,10275.mp3,32,Female,Adult
Punjabi,10276.mp3,31,Female,Adult
Punjabi,10277.mp3,57,Female,Senior Adult
Punjabi,10278.mp3,28,Male,Adult
Punjabi,10279.mp3,51,Female,Senior Adult
Punjabi,1028.mp3,39,Female,Adult
Punjabi,10280.mp3,55,Male,Senior Adult
Punjabi,10281.mp3,58,Male,Senior Adult
Punjabi,10282.mp3,43,Male,Senior Adult
Punjabi,10283.mp3,43,Male,Senior Adult
Punjabi,10284.mp3,38,Male,Adult
Punjabi,10285.mp3,21,Male,Young Adult
Punjabi,10286.mp3,56,Female,Senior Adult
Punjabi,10287.mp3,22,Female,Young Adult
Punjabi,10288.mp3,36,Female,Adult
Punjabi,10289.mp3,54,Female,Senior Adult
Punjabi,1029.mp3,25,Male,Young Adult
Punjabi,10290.mp3,41,Male,Senior Adult
Punjabi,10291.mp3,59,Male,Senior Adult
Punjabi,10292.mp3,52,Female,Senior Adult
Punjabi,10293.mp3,19,Male,Young Adult
Punjabi,10294.mp3,20,Male,Young Adult
Punjabi,10295.mp3,49,Female,Senior Adult
Punjabi,10296.mp3,40,Female,Adult
Punjabi,10297.mp3,24,Male,Young Adult
Punjabi,10298.mp3,22,Female,Young Adult
Punjabi,10299.mp3,27,Male,Adult
Punjabi,103.mp3,28,Male,Adult
Punjabi,1030.mp3,51,Male,Senior Adult
Punjabi,10300.mp3,39,Male,Adult
Punjabi,10301.mp3,35,Female,Adult
Punjabi,10302.mp3,52,Female,Senior Adult
Punjabi,10303.mp3,47,Female,Senior Adult
Punjabi,10304.mp3,45,Male,Senior Adult
Punjabi,10305.mp3,22,Female,Young Adult
Punjabi,10306.mp3,51,Male,Senior Adult
Punjabi,10307.mp3,40,Male,Adult
Punjabi,10308.mp3,20,Male,Young Adult
Punjabi,10309.mp3,52,Female,Senior Adult
